X,Y,,
1.574,0.025,,
1.576,0.015,,
1.578,0.005,,
1.58,-0.01,,
1.582,-0.01,,
1.584,-0.01,,
1.586,0.01,,
1.588,0.015,,
1.59,0.025,,
1.592,0.045,,
1.594,0.06,,
1.596,0.065,,
1.598,0.05,,
1.6,0.04,,
1.602,0.045,,
1.604,0.04,,
1.606,0.045,,
1.608,0.045,,
1.61,0.06,,
1.612,0.065,,
1.614,0.07,,
1.616,0.065,,
1.618,0.065,,
1.62,0.065,,
1.622,0.065,,
1.624,0.075,,
1.626,0.08,,
1.628,0.1,,
1.63,0.115,,
1.632,0.125,,
1.634,0.13,,
1.636,0.14,,
1.638,0.14,,
1.64,0.15,,
1.642,0.135,,
1.644,0.13,,
1.646,0.14,,
1.648,0.17,,
1.65,0.175,,
1.652,0.19,,
1.654,0.2,,
1.656,0.205,,
1.658,0.19,,
1.66,0.2,,
1.662,0.2,,
1.664,0.195,,
1.666,0.21,,
1.668,0.225,,
1.67,0.235,,
1.672,0.23,,
1.674,0.24,,
1.676,0.225,,
1.678,0.225,,
1.68,0.205,,
1.682,0.2,,
1.684,0.19,,
1.686,0.19,,
1.688,0.205,,
1.69,0.205,,
1.692,0.22,,
1.694,0.23,,
1.696,0.205,,
1.698,0.195,,
1.7,0.175,,
1.702,0.165,,
1.704,0.155,,
1.706,0.15,,
1.708,0.14,,
1.71,0.135,,
1.712,0.13,,
1.714,0.11,,
1.716,0.105,,
1.718,0.085,,
1.72,0.075,,
1.722,0.065,,
1.724,0.06,,
1.726,0.065,,
1.728,0.06,,
1.73,0.06,,
1.732,0.05,,
1.734,0.045,,
1.736,0.04,,
1.738,0.02,,
1.74,0.01,,
1.742,0,,
1.744,0,,
1.746,0.01,,
1.748,0.015,,
1.75,0.01,,
1.752,0.02,,
1.754,0.01,,
1.756,0,,
1.758,-0.02,,
1.76,-0.02,,
1.762,-0.04,,
1.764,-0.035,,
1.766,-0.025,,
1.768,-0.015,,
1.77,-0.005,,
1.772,0.005,,
1.774,-0.005,,
1.776,-0.02,,
1.778,-0.025,,
1.78,-0.025,,
1.782,-0.025,,
1.784,-0.025,,
1.786,-0.025,,
1.788,-0.01,,
1.79,0.005,,
1.792,0.015,,
1.794,0.01,,
1.796,0.005,,
1.798,-0.02,,
1.8,-0.015,,
1.802,-0.015,,
1.804,-0.02,,
1.806,-0.025,,
1.808,-0.02,,
1.81,-0.02,,
1.812,0,,
1.814,0.015,,
1.816,-0.005,,
1.818,-0.01,,
1.82,-0.02,,
1.822,-0.03,,
1.824,-0.03,,
1.826,-0.015,,
1.828,0,,
1.83,0.01,,
1.832,0.015,,
1.834,0.015,,
1.836,-0.005,,
1.838,-0.01,,
1.84,-0.035,,
1.842,-0.025,,
1.844,-0.025,,
1.846,-0.02,,
1.848,0.005,,
1.85,0.015,,
1.852,0.02,,
1.854,0.025,,
1.856,0,,
1.858,-0.01,,
1.86,-0.025,,
1.862,-0.035,,
1.864,-0.02,,
1.866,-0.01,,
1.868,0.005,,
1.87,0.005,,
1.872,0.01,,
1.874,0.015,,
1.876,0,,
1.878,-0.005,,
1.88,-0.02,,
1.882,-0.025,,
1.884,-0.025,,
1.886,-0.015,,
1.888,0,,
1.89,0.005,,
1.892,0.015,,
1.894,0.02,,
1.896,0,,
1.898,-0.015,,
1.9,-0.02,,
1.902,-0.03,,
1.904,-0.025,,
1.906,-0.005,,
1.908,-0.005,,
1.91,0,,
1.912,0.01,,
1.914,0.015,,
1.916,0.005,,
1.918,-0.01,,
1.92,-0.015,,
1.922,-0.02,,
1.924,-0.015,,
1.926,-0.005,,
1.928,-0.005,,
1.93,-0.005,,
1.932,-0.01,,
1.934,-0.01,,
1.936,-0.01,,
1.938,-0.015,,
1.94,-0.025,,
1.942,-0.025,,
1.944,-0.02,,
1.946,-0.01,,
1.948,-0.01,,
1.95,-0.005,,
1.952,-0.005,,
1.954,-0.01,,
1.956,-0.025,,
1.958,-0.025,,
1.96,-0.025,,
1.962,-0.035,,
1.964,-0.03,,
1.966,-0.02,,
1.968,-0.01,,
1.97,-0.005,,
1.972,-0.01,,
1.974,-0.015,,
1.976,-0.025,,
1.978,-0.03,,
1.98,-0.035,,
1.982,-0.04,,
1.984,-0.025,,
1.986,-0.02,,
1.988,-0.015,,
1.99,-0.005,,
1.992,0,,
1.994,-0.01,,
1.996,-0.025,,
1.998,-0.03,,
2,-0.045,,
2.002,-0.125,,
2.004,-0.14,,
2.006,-0.11,,
2.008,-0.11,,
2.01,-0.09,,
2.012,0.015,,
2.014,-0.01,,
2.016,-0.03,,
2.018,-0.06,,
2.02,-0.055,,
2.022,-0.115,,
2.024,-0.155,,
2.026,-0.095,,
2.028,-0.12,,
2.03,-0.08,,
2.032,-0.03,,
2.034,-0.02,,
2.036,-0.12,,
2.038,-0.035,,
2.04,0.03,,
2.042,-0.125,,
2.044,-0.105,,
2.046,-0.115,,
2.048,-0.095,,
2.05,-0.045,,
2.052,-0.045,,
2.054,-0.06,,
2.056,-0.095,,
2.058,-0.085,,
2.06,-0.13,,
2.062,-0.195,,
2.064,-0.145,,
2.066,-0.125,,
2.068,-0.04,,
2.07,-0.005,,
2.072,-0.015,,
2.074,-0.025,,
2.076,-0.12,,
2.078,-0.195,,
2.08,-0.12,,
2.082,-0.08,,
2.084,-0.1,,
2.086,-0.06,,
2.088,-0.03,,
2.09,0.005,,
2.092,0.005,,
2.094,-0.03,,
2.096,-0.06,,
2.098,-0.1,,
2.1,-0.305,,
2.102,-0.195,,
2.104,-0.045,,
2.106,-0.08,,
2.108,-0.095,,
2.11,-0.055,,
2.112,-0.03,,
2.114,0,,
2.116,0.05,,
2.118,0,,
2.12,-0.155,,
2.122,-0.28,,
2.124,-0.36,,
2.126,-0.23,,
2.128,-0.07,,
2.13,0.01,,
2.132,0.025,,
2.134,-0.01,,
2.136,-0.035,,
2.138,-0.09,,
2.14,-0.17,,
2.142,-0.275,,
2.144,-0.24,,
2.146,-0.09,,
2.148,-0.03,,
2.15,0.025,,
2.152,-0.02,,
2.154,-0.02,,
2.156,0.03,,
2.158,-0.01,,
2.16,-0.09,,
2.162,-0.12,,
2.164,-0.14,,
2.166,-0.2,,
2.168,-0.095,,
2.17,0.025,,
2.172,0.085,,
2.174,-0.08,,
2.176,-0.045,,
2.178,-0.005,,
2.18,-0.07,,
2.182,-0.055,,
2.184,-0.06,,
2.186,-0.055,,
2.188,-0.145,,
2.19,0.01,,
2.192,0.01,,
2.194,-0.065,,
2.196,0.015,,
2.198,0.03,,
2.2,-0.045,,
2.202,-0.135,,
2.204,-0.12,,
2.206,-0.085,,
2.208,-0.14,,
2.21,-0.115,,
2.212,0.065,,
2.214,0.1,,
2.216,0.025,,
2.218,-0.055,,
2.22,-0.12,,
2.222,-0.11,,
2.224,-0.2,,
2.226,-0.19,,
2.228,-0.12,,
2.23,-0.03,,
2.232,-0.035,,
2.234,-0.025,,
2.236,-0.06,,
2.238,-0.07,,
2.24,-0.075,,
2.242,-0.21,,
2.244,-0.23,,
2.246,-0.135,,
2.248,-0.085,,
2.25,-0.085,,
2.252,-0.09,,
2.254,-0.115,,
2.256,-0.115,,
2.258,-0.11,,
2.26,-0.115,,
2.262,-0.12,,
2.264,-0.09,,
2.266,-0.04,,
2.268,-0.05,,
2.27,-0.115,,
2.272,-0.125,,
2.274,-0.175,,
2.276,-0.075,,
2.278,-0.065,,
2.28,-0.225,,
2.282,-0.23,,
2.284,-0.225,,
2.286,-0.2,,
2.288,-0.14,,
2.29,-0.075,,
2.292,-0.085,,
2.294,-0.005,,
2.296,-0.075,,
2.298,-0.11,,
2.3,-0.155,,
2.302,-0.17,,
2.304,-0.205,,
2.306,-0.215,,
2.308,-0.2,,
2.31,-0.095,,
2.312,-0.055,,
2.314,-0.17,,
2.316,-0.185,,
2.318,-0.105,,
2.32,-0.08,,
2.322,-0.065,,
2.324,-0.01,,
2.326,0.05,,
2.328,0.115,,
2.33,0.18,,
2.332,0.32,,
2.334,0.48,,
2.336,0.575,,
2.338,0.54,,
2.34,0.575,,
2.342,0.66,,
2.344,0.71,,
2.346,0.72,,
2.348,0.695,,
2.35,0.51,,
2.352,0.49,,
2.354,0.38,,
2.356,0.205,,
2.358,0.04,,
2.36,-0.05,,
2.362,-0.195,,
2.364,-0.275,,
2.366,-0.175,,
2.368,-0.21,,
2.37,-0.08,,
2.372,-0.025,,
2.374,-0.09,,
2.376,-0.11,,
2.378,-0.095,,
2.38,-0.05,,
2.382,-0.15,,
2.384,-0.085,,
2.386,-0.105,,
2.388,-0.01,,
2.39,-0.04,,
2.392,-0.02,,
2.394,-0.035,,
2.396,-0.06,,
2.398,-0.095,,
2.4,-0.105,,
2.402,-0.15,,
2.404,-0.205,,
2.406,-0.22,,
2.408,-0.095,,
2.41,-0.03,,
2.412,-0.03,,
2.414,-0.025,,
2.416,-0.07,,
2.418,-0.025,,
2.42,-0.085,,
2.422,-0.1,,
2.424,-0.135,,
2.426,-0.155,,
2.428,-0.055,,
2.43,0,,
2.432,0.015,,
2.434,-0.035,,
2.436,0.01,,
2.438,-0.065,,
2.44,-0.015,,
2.442,-0.105,,
2.444,-0.2,,
2.446,-0.1,,
2.448,-0.015,,
2.45,-0.025,,
2.452,-0.035,,
2.454,-0.085,,
2.456,-0.11,,
2.458,0.03,,
2.46,0.08,,
2.462,-0.035,,
2.464,-0.05,,
2.466,-0.03,,
2.468,0.035,,
2.47,0.055,,
2.472,0.065,,
2.474,-0.045,,
2.476,-0.12,,
2.478,-0.065,,
2.48,-0.15,,
2.482,-0.255,,
2.484,-0.075,,
2.486,0.06,,
2.488,0.12,,
2.49,0.095,,
2.492,0.075,,
2.494,0.065,,
2.496,0.06,,
2.498,0,,
2.5,-0.04,,
2.502,0.01,,
2.504,0.015,,
2.506,0.02,,
2.508,0.015,,
2.51,-0.035,,
2.512,0.04,,
2.514,0.055,,
2.516,0.105,,
2.518,0.08,,
2.52,0.11,,
2.522,0.005,,
2.524,-0.005,,
2.526,0.09,,
2.528,0.145,,
2.53,0.15,,
2.532,0.2,,
2.534,0.21,,
2.536,0.11,,
2.538,0.02,,
2.54,0.06,,
2.542,0.065,,
2.544,0.15,,
2.546,0.195,,
2.548,0.305,,
2.55,0.24,,
2.552,0.21,,
2.554,0.135,,
2.556,0.12,,
2.558,0.145,,
2.56,0.13,,
2.562,0.115,,
2.564,0.15,,
2.566,0.27,,
2.568,0.3,,
2.57,0.3,,
2.572,0.275,,
2.574,0.24,,
2.576,0.215,,
2.578,0.115,,
2.58,0.025,,
2.582,0.075,,
2.584,0.12,,
2.586,0.105,,
2.588,0.215,,
2.59,0.22,,
2.592,0.145,,
2.594,0.145,,
2.596,0.165,,
2.598,0.05,,
